[2022-07-23 12:06:13,118][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:06:13,119][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 5195
[2022-07-23 12:06:29,047][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/0b1f9548af594740938e4c8c86652dfa/ with method: PUT
[2022-07-23 12:06:29,048][django.server.log_message():161] [INFO] "PUT /user/role/0b1f9548af594740938e4c8c86652dfa/ HTTP/1.1" 200 320
[2022-07-23 12:06:30,976][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/user-menus/ with method: POST
[2022-07-23 12:06:30,976][django.server.log_message():161] [INFO] "POST /user/user-menus/ HTTP/1.1" 200 2583
[2022-07-23 12:06:31,243][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/ with method: GET
[2022-07-23 12:06:31,245][django.server.log_message():161] [INFO] "GET /user/role/ HTTP/1.1" 200 1183
[2022-07-23 12:06:35,472][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /api/report/ with method: GET
[2022-07-23 12:06:35,473][django.server.log_message():161] [INFO] "GET /api/report/ HTTP/1.1" 200 142
[2022-07-23 12:06:38,581][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /public/db/ with method: GET
[2022-07-23 12:06:38,581][django.server.log_message():161] [INFO] "GET /public/db/ HTTP/1.1" 200 2
[2022-07-23 12:06:39,447][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /public/redis/ with method: GET
[2022-07-23 12:06:39,447][django.server.log_message():161] [INFO] "GET /public/redis/ HTTP/1.1" 200 2
[2022-07-23 12:06:40,661][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /public/mq/ with method: GET
[2022-07-23 12:06:40,662][django.server.log_message():161] [INFO] "GET /public/mq/ HTTP/1.1" 200 2
[2022-07-23 12:06:54,443][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:06:54,444][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 5195
[2022-07-23 12:06:58,335][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/menu/ with method: GET
[2022-07-23 12:06:58,336][django.server.log_message():161] [INFO] "GET /user/menu/ HTTP/1.1" 200 5195
[2022-07-23 12:07:01,016][sse.lib.utils.logger.process_response():112] [INFO] Receive request from IP: 127.0.0.1 by url: /user/role/d9b4b4797b554db8ae4ac4e22ec9f1s1/ with method: PUT
